intento: 2 tiempo: 0.015 [0.0356835763550404 0.00644123751387586 0.00402898689717038 0.00521645578207853 0.00486005273875242 0.00690595564990523 0.00434554018544729;0.00644123751387586 0.0355464857859932 0.00517069425756148 0.00584371135255142 0.00562555682400311 0.00586975178035602 0.00468477490084263;0.00402898689717038 0.00517069425756148 0.0331918463280258 0.00524873368940449 0.00422660280942885 0.00557907564784569 0.00470117368875505;0.00521645578207853 0.00584371135255142 0.00524873368940449 0.0342568468549947 0.00585634905633165 0.00652831346143709 0.00556828411621565;0.00486005273875242 0.00562555682400311 0.00422660280942885 0.00585634905633165 0.0359488163589761 0.0054153422663383 0.0048845463415149;0.00690595564990523 0.00586975178035602 0.00557907564784569 0.00652831346143709 0.0054153422663383 0.0393932377113151 0.00746341683416492;0.00434554018544729 0.00468477490084263 0.00470117368875505 0.00556828411621565 0.0048845463415149 0.00746341683416492 0.0346954701977224]
intento: 4 tiempo: 0.016 [0.0320367142613103 0.00450709887662032 0.00567988931206821 0.00409331883595447 0.00586884135810196 0.00497754388450098 0.00422735942151128;0.00450709887662032 0.0297061142412256 0.00384640628110774 0.00303600433560648 0.00481306416934026 0.00312099650093514 0.0045696148457757;0.00567988931206821 0.00384640628110774 0.0299562313854872 0.00439814251910042 0.00486535333368208 0.00492615865780424 0.00305559031889193;0.00409331883595447 0.00303600433560648 0.00439814251910042 0.0304338402776119 0.00353417899710063 0.0049396264440659 0.00374930449685345;0.00586884135810196 0.00481306416934026 0.00486535333368208 0.00353417899710063 0.0305350360573077 0.00554991916080786 0.00395686668798271;0.00497754388450098 0.00312099650093514 0.00492615865780424 0.0049396264440659 0.00554991916080786 0.0301981985605857 0.00442886148544524;0.00422735942151128 0.0045696148457757 0.00305559031889193 0.00374930449685345 0.00395686668798271 0.00442886148544524 0.0310529117714543]
intento: 6 tiempo: 0.014 [0.0421632100107314 0.00599949285060278 0.00765633317870013 0.0076910078671281 0.00565552408017211 0.00552924107015709 0.00705275543573448;0.00599949285060278 0.0410297608216944 0.00789702901819541 0.00626680895182764 0.00525596701311492 0.00452658787582638 0.00706704222999796;0.00765633317870013 0.00789702901819541 0.0412833924686107 0.00801612312744768 0.00641165775436226 0.00618957388969839 0.00694521173911103;0.0076910078671281 0.00626680895182764 0.00801612312744768 0.0408399942036613 0.00579747902343962 0.00646520870213365 0.0076327693684539;0.00565552408017211 0.00525596701311492 0.00641165775436226 0.00579747902343962 0.040173402410646 0.0046965799333711 0.00895882751189816;0.00552924107015709 0.00452658787582638 0.00618957388969839 0.00646520870213365 0.0046965799333711 0.0392420133881933 0.00654941409335406;0.00705275543573448 0.00706704222999796 0.00694521173911103 0.0076327693684539 0.00895882751189816 0.00654941409335406 0.0450603513752295]
intento: 8 tiempo: 0.015 [0.0359925216212866 0.00543055084620205 0.00497147916167816 0.00556701753189042 0.00418087247206541 0.00493941155463243 0.00623253425412602;0.00543055084620205 0.0390396671547661 0.00587350903452986 0.00695658738492184 0.0044777204243256 0.00590623293661321 0.0054393792469767;0.00497147916167816 0.00587350903452986 0.0356075238526848 0.00531007298769965 0.00464355062999363 0.00518081875125406 0.00596346676307486;0.00556701753189042 0.00695658738492184 0.00531007298769965 0.0397188514646095 0.00583479511584934 0.00640411502559164 0.00648365267106214;0.00418087247206541 0.0044777204243256 0.00464355062999363 0.00583479511584934 0.0354205466560995 0.00431425126170297 0.00502438409661244;0.00493941155463243 0.00590623293661321 0.00518081875125406 0.00640411502559164 0.00431425126170297 0.0388402538695321 0.00610931316031235;0.00623253425412602 0.0054393792469767 0.00596346676307486 0.00648365267106214 0.00502438409661244 0.00610931316031235 0.0374931925324896]
intento: 10 tiempo: 0.014 [0.0334836443503395 0.00538431850992343 0.00376723258484546 0.00383245896160669 0.00404360341861061 0.00447111690239689 0.00423514703303846;0.00538431850992343 0.0372533488634987 0.00474707924643184 0.00741754864645258 0.00578781838195018 0.00653921007434993 0.00691552657499193;0.00376723258484546 0.00474707924643184 0.0313806244999467 0.00418410712188126 0.00443945920619906 0.00422999371766928 0.00336861636526946;0.00383245896160669 0.00741754864645258 0.00418410712188126 0.0343057727940705 0.00480025531242708 0.00525176500191375 0.005976459431058;0.00404360341861061 0.00578781838195018 0.00443945920619906 0.00480025531242708 0.0337670235482678 0.00415200804941973 0.00472358545541463;0.00447111690239689 0.00653921007434993 0.00422999371766928 0.00525176500191375 0.00415200804941973 0.0324140947932305 0.00427183704165951;0.00423514703303846 0.00691552657499193 0.00336861636526946 0.005976459431058 0.00472358545541463 0.00427183704165951 0.0325210070095544]
intento: 12 tiempo: 0.014 [0.0399824438858872 0.00737811927090861 0.00638048862450056 0.00684156393420857 0.00559171408339508 0.00694092092597743 0.00499720459718798;0.00737811927090861 0.040590450198001 0.00583598770083801 0.00685474577061449 0.00764683891271405 0.0081135504811743 0.0064862802095539;0.00638048862450056 0.00583598770083801 0.0403474352114801 0.00521871814411898 0.00802478504968126 0.00580429390345461 0.00521346446384975;0.00684156393420857 0.00685474577061449 0.00521871814411898 0.0400189998999429 0.0069289852610084 0.00752488859993732 0.0042242401767511;0.00559171408339508 0.00764683891271405 0.00802478504968126 0.0069289852610084 0.041252203409352 0.00768781367938035 0.00536515646717697;0.00694092092597743 0.0081135504811743 0.00580429390345461 0.00752488859993732 0.00768781367938035 0.0397770894211939 0.00753634824782314;0.00499720459718798 0.0064862802095539 0.00521346446384975 0.0042242401767511 0.00536515646717697 0.00753634824782314 0.0425158534243047]
intento: 14 tiempo: 0.017 [0.0325700755094738 0.00459237647463478 0.00479139668776414 0.0065538374426532 0.00411660405423297 0.00477030905089889 0.00505210765387524;0.00459237647463478 0.0351143986573906 0.00640862336688903 0.00489023279839607 0.00488239278754811 0.00547833185240273 0.00494305570539426;0.00479139668776414 0.00640862336688903 0.0319801583234427 0.00457831787300894 0.00378955861482395 0.00444963669662231 0.00389142177010946;0.0065538374426532 0.00489023279839607 0.00457831787300894 0.0342052725236039 0.00437158664415955 0.00541551946997343 0.00533348080553263;0.00411660405423297 0.00488239278754811 0.00378955861482395 0.00437158664415955 0.0325199165065325 0.00483178966387303 0.00430543470935434;0.00477030905089889 0.00547833185240273 0.00444963669662231 0.00541551946997343 0.00483178966387303 0.0322923001540187 0.0042840693002408;0.00505210765387524 0.00494305570539426 0.00389142177010946 0.00533348080553263 0.00430543470935434 0.0042840693002408 0.0346552882780297]
intento: 16 tiempo: 0.014 [0.0339321935987133 0.00458758829360147 0.00503144859781856 0.00438386518199655 0.0066495019963041 0.00597946654720677 0.00542822119437134;0.00458758829360147 0.0344632368299049 0.00470633197742906 0.00446413400581221 0.00446324055351096 0.00396299439489391 0.0047656381306839;0.00503144859781856 0.00470633197742906 0.0336625886348654 0.00494130168592077 0.00583644480889081 0.00481067254776644 0.00512774000960898;0.00438386518199655 0.00446413400581221 0.00494130168592077 0.0316837933152478 0.0046188711311951 0.00295283123545444 0.00437483863774068;0.0066495019963041 0.00446324055351096 0.00583644480889081 0.0046188711311951 0.0353916612065038 0.00519310535090079 0.0056746252060378;0.00597946654720677 0.00396299439489391 0.00481067254776644 0.00295283123545444 0.00519310535090079 0.0343907963244848 0.00341456081972589;0.00542822119437134 0.0047656381306839 0.00512774000960898 0.00437483863774068 0.0056746252060378 0.00341456081972589 0.0338149817838717]
intento: 18 tiempo: 0.015 [0.0363771825382108 0.00477037283814644 0.00537828320489271 0.00656868794754455 0.00755185189160673 0.00538949149228632 0.00463207147337015;0.00477037283814644 0.0358237170526304 0.0059408965331634 0.00464731547546764 0.00706058633238733 0.00445676464325738 0.00542258514999901;0.00537828320489271 0.0059408965331634 0.0389684061525394 0.00641732927436794 0.00823242703683838 0.00656690074782366 0.00630355881628305;0.00656868794754455 0.00464731547546764 0.00641732927436794 0.0378626514249647 0.00849679034933099 0.00697602474497713 0.00677176694129127;0.00755185189160673 0.00706058633238733 0.00823242703683838 0.00849679034933099 0.0402229610530101 0.00520224921746856 0.00568891646298764;0.00538949149228632 0.00445676464325738 0.00656690074782366 0.00697602474497713 0.00520224921746856 0.0382473624057742 0.00484301717025268;0.00463207147337015 0.00542258514999901 0.00630355881628305 0.00677176694129127 0.00568891646298764 0.00484301717025268 0.037012286468384]
intento: 20 tiempo: 0.017 [0.0327733618882802 0.00458709399249662 0.00523377495984924 0.00431908738890073 0.00428001628740529 0.0044841377161112 0.00444324272536295;0.00458709399249662 0.0331135361160818 0.00629671422853191 0.00454902519323406 0.00462819885324532 0.00385243199200033 0.00403402419452741;0.00523377495984924 0.00629671422853191 0.0332683311664958 0.00559912308080393 0.0048223442990388 0.00403452660253422 0.0046731852363108;0.00431908738890073 0.00454902519323406 0.00559912308080393 0.033142386597442 0.00540978477426558 0.00432942648933375 0.00581589374858521;0.00428001628740529 0.00462819885324532 0.0048223442990388 0.00540978477426558 0.0314946120452391 0.00352034538415914 0.00435212057568837;0.0044841377161112 0.00385243199200033 0.00403452660253422 0.00432942648933375 0.00352034538415914 0.0327805093291457 0.00381451901887787;0.00444324272536295 0.00403402419452741 0.0046731852363108 0.00581589374858521 0.00435212057568837 0.00381451901887787 0.0317904055264663]
