intento: 2 tiempo: 0.028 [0.0221124596978047 0.00264893634525552 0.00246297655233928 0.00138458303928473 0.00233773035247276 0.0023266343658179 0.0021345969948573 0.00246669608143882 0.0022126513563757 0.00243188771548722;0.00264893634525552 0.0217580124014352 0.00225227210626682 0.00147738223325996 0.00245028783210816 0.00213924926631473 0.00175530731139355 0.00245746516322923 0.00183415383075435 0.00193855738256494;0.00246297655233928 0.00225227210626682 0.0229488460771872 0.00193253618741687 0.00265726482977308 0.00314444394023304 0.00283960101707689 0.00260514160019552 0.00262266261272551 0.0028325938910218;0.00138458303928473 0.00147738223325996 0.00193253618741687 0.0214249932621905 0.00162558439500935 0.001917323051741 0.00154368726130529 0.00140694269861568 0.00230518059306049 0.00155908561625936;0.00233773035247276 0.00245028783210816 0.00265726482977308 0.00162558439500935 0.0222753974627311 0.0026724519799817 0.00220551901207418 0.00232345300653301 0.00178099808615443 0.00197044356743283;0.0023266343658179 0.00213924926631473 0.00314444394023304 0.001917323051741 0.0026724519799817 0.0216432595068918 0.00185326509255225 0.00232755075552616 0.00224277748139696 0.00199286259932411;0.0021345969948573 0.00175530731139355 0.00283960101707689 0.00154368726130529 0.00220551901207418 0.00185326509255225 0.0225498148579965 0.00213766171112412 0.00162711541052655 0.00197986920906201;0.00246669608143882 0.00245746516322923 0.00260514160019552 0.00140694269861568 0.00232345300653301 0.00232755075552616 0.00213766171112412 0.021416025041156 0.00208994110149234 0.00254840048189393;0.0022126513563757 0.00183415383075435 0.00262266261272551 0.00230518059306049 0.00178099808615443 0.00224277748139696 0.00162711541052655 0.00208994110149234 0.0224272193790157 0.00255778498699479;0.00243188771548722 0.00193855738256494 0.0028325938910218 0.00155908561625936 0.00197044356743283 0.00199286259932411 0.00197986920906201 0.00254840048189393 0.00255778498699479 0.0217524085029343]
intento: 4 tiempo: 0.027 [0.0214287677997141 0.00203403889630381 0.00291159293999632 0.00213298671755546 0.00185488672003114 0.00248980067082404 0.00178663580293407 0.00246797582016432 0.00228939078761166 0.00240660950824955;0.00203403889630381 0.022555279715945 0.00180207412376542 0.00239383520601653 0.00260962245938175 0.00222876754808203 0.00203237247160535 0.00211168229192375 0.00260569740366982 0.00226019826365805;0.00291159293999632 0.00180207412376542 0.0227961681907487 0.00224214271532418 0.00232958416540796 0.00228319202829413 0.00191404917315293 0.00229124717651001 0.00196851408387234 0.00182106107418143;0.00213298671755546 0.00239383520601653 0.00224214271532418 0.0221152031946057 0.00157935968156723 0.00215055868923091 0.00238398062447091 0.00238574513130976 0.00246097649570731 0.00240415741720105;0.00185488672003114 0.00260962245938175 0.00232958416540796 0.00157935968156723 0.0217544447070556 0.00212160090941239 0.00230293563802792 0.00221196900582493 0.002179472457309 0.00213188557847818;0.00248980067082404 0.00222876754808203 0.00228319202829413 0.00215055868923091 0.00212160090941239 0.0224520498960332 0.00265630134901742 0.0022874041520646 0.00218065664272433 0.00253423209735138;0.00178663580293407 0.00203237247160535 0.00191404917315293 0.00238398062447091 0.00230293563802792 0.00265630134901742 0.0219940020284684 0.00213622702564845 0.0021986267857354 0.00207206499942456;0.00246797582016432 0.00211168229192375 0.00229124717651001 0.00238574513130976 0.00221196900582493 0.0022874041520646 0.00213622702564845 0.0218289056925387 0.00243556845138437 0.0021421316112075;0.00228939078761166 0.00260569740366982 0.00196851408387234 0.00246097649570731 0.002179472457309 0.00218065664272433 0.0021986267857354 0.00243556845138437 0.0221004770685548 0.00270115544055118;0.00240660950824955 0.00226019826365805 0.00182106107418143 0.00240415741720105 0.00213188557847818 0.00253423209735138 0.00207206499942456 0.0021421316112075 0.00270115544055118 0.022249552837684]
intento: 6 tiempo: 0.028 [0.0215691202747369 0.00215079837836937 0.00252403013812027 0.00239008258664858 0.00255841765968663 0.00274265667613608 0.00246383089889014 0.00259938758528485 0.00270318332840715 0.0021451251532356;0.00215079837836937 0.0214516238658916 0.00176151259032523 0.00136853745887237 0.00179646846450373 0.00240556041373719 0.0016190460645671 0.0021461938862354 0.00198532729143901 0.00189015900610408;0.00252403013812027 0.00176151259032523 0.0217292613436772 0.00238797861881792 0.00198997438259202 0.0027703141027603 0.00238346543676051 0.0019541380204401 0.00193052332549409 0.00198154771155083;0.00239008258664858 0.00136853745887237 0.00238797861881792 0.0221968210364999 0.00228908757156314 0.00197440876895623 0.00206305807083457 0.00259183545999849 0.0019439570492322 0.00150183800973329;0.00255841765968663 0.00179646846450373 0.00198997438259202 0.00228908757156314 0.0214780246423478 0.0025654958019596 0.00234054905766175 0.00231499370921293 0.00213186809092884 0.0022886890033987;0.00274265667613608 0.00240556041373719 0.0027703141027603 0.00197440876895623 0.0025654958019596 0.02104822598251 0.00240735758595699 0.00213193609203198 0.00181925201266819 0.00219281209656709;0.00246383089889014 0.0016190460645671 0.00238346543676051 0.00206305807083457 0.00234054905766175 0.00240735758595699 0.0217055931757636 0.00208729791623083 0.00177711273843955 0.00182890538532041;0.00259938758528485 0.0021461938862354 0.0019541380204401 0.00259183545999849 0.00231499370921293 0.00213193609203198 0.00208729791623083 0.0214959094468984 0.00170024636044089 0.00194105091531744;0.00270318332840715 0.00198532729143901 0.00193052332549409 0.0019439570492322 0.00213186809092884 0.00181925201266819 0.00177711273843955 0.00170024636044089 0.021491775430956 0.00176139378530019;0.0021451251532356 0.00189015900610408 0.00198154771155083 0.00150183800973329 0.0022886890033987 0.00219281209656709 0.00182890538532041 0.00194105091531744 0.00176139378530019 0.0211394774194171]
intento: 8 tiempo: 0.03 [0.0205644236361114 0.00210030429358591 0.00182667929235303 0.0020089209579139 0.00181248907618763 0.001618220155241 0.00189436116262861 0.001986521977177 0.00243880859552552 0.0019884266040462;0.00210030429358591 0.022080770375277 0.00191634319677481 0.00238483710213121 0.00197592643337648 0.00208379116321565 0.0014487131227476 0.00242265705465933 0.0021540831702713 0.00245949234757847;0.00182667929235303 0.00191634319677481 0.0215909009959612 0.00250377255111895 0.00152660057319193 0.0023450038365652 0.0019711725757728 0.00245404413504524 0.00269994569775181 0.00215928272874015;0.0020089209579139 0.00238483710213121 0.00250377255111895 0.0214459840301683 0.00184712973583197 0.00261353262975846 0.00184783313664201 0.00230077966742072 0.00252947481951826 0.00225891395136633;0.00181248907618763 0.00197592643337648 0.00152660057319193 0.00184712973583197 0.0206797367916462 0.00194647782379486 0.00111253301258204 0.00255849984387903 0.0016873713883983 0.00167751899672969;0.001618220155241 0.00208379116321565 0.0023450038365652 0.00261353262975846 0.00194647782379486 0.0218909589999317 0.00145050813702822 0.00219024979750787 0.00258003308332631 0.00257934827668712;0.00189436116262861 0.0014487131227476 0.0019711725757728 0.00184783313664201 0.00111253301258204 0.00145050813702822 0.0205172027866446 0.00238475269394927 0.00253493528144449 0.00180092924328017;0.001986521977177 0.00242265705465933 0.00245404413504524 0.00230077966742072 0.00255849984387903 0.00219024979750787 0.00238475269394927 0.0220194725194486 0.00209536378014145 0.00222834294761943;0.00243880859552552 0.0021540831702713 0.00269994569775181 0.00252947481951826 0.0016873713883983 0.00258003308332631 0.00253493528144449 0.00209536378014145 0.0225442470476565 0.00190162781811155;0.0019884266040462 0.00245949234757847 0.00215928272874015 0.00225891395136633 0.00167751899672969 0.00257934827668712 0.00180092924328017 0.00222834294761943 0.00190162781811155 0.0211517997232523]
intento: 10 tiempo: 0.025 [0.0217672766882336 0.00202059550989802 0.0022829642558147 0.00165494718118648 0.00268522038894334 0.00210136308476414 0.0021117392316537 0.0019595835430913 0.00244283738129778 0.00231447461326669;0.00202059550989802 0.0224420781885897 0.0025695880682821 0.00182152194113329 0.00199771462758951 0.00225808384000464 0.00249384609836851 0.0020532838690392 0.00284749797582927 0.00216495112603105;0.0022829642558147 0.0025695880682821 0.0233254779811728 0.00229669818315364 0.00223350162521484 0.00223070810960193 0.00215461344167118 0.00293597224456958 0.00285376794065926 0.00306666270922494;0.00165494718118648 0.00182152194113329 0.00229669818315364 0.0222624352371322 0.00237787153836868 0.00197941551342084 0.00242660768384891 0.00243795824806032 0.00185827280750331 0.00233719890206759;0.00268522038894334 0.00199771462758951 0.00223350162521484 0.00237787153836868 0.021645655965031 0.00233648714924196 0.00202599549748068 0.00200841461217904 0.00202664786203228 0.00178435439178407;0.00210136308476414 0.00225808384000464 0.00223070810960193 0.00197941551342084 0.00233648714924196 0.0215673248170267 0.00176058279783274 0.00221138245802552 0.00229449175572119 0.00198458795050174;0.0021117392316537 0.00249384609836851 0.00215461344167118 0.00242660768384891 0.00202599549748068 0.00176058279783274 0.0218675554737005 0.00233999643002502 0.0030287476157742 0.00209041802997029;0.0019595835430913 0.0020532838690392 0.00293597224456958 0.00243795824806032 0.00200841461217904 0.00221138245802552 0.00233999643002502 0.0230403469195729 0.00260231479364008 0.00247801232092794;0.00244283738129778 0.00284749797582927 0.00285376794065926 0.00185827280750331 0.00202664786203228 0.00229449175572119 0.0030287476157742 0.00260231479364008 0.0235468613242544 0.00212318586682666;0.00231447461326669 0.00216495112603105 0.00306666270922494 0.00233719890206759 0.00178435439178407 0.00198458795050174 0.00209041802997029 0.00247801232092794 0.00212318586682666 0.0226862784554767]
intento: 12 tiempo: 0.031 [0.0220500858939132 0.00196509829884393 0.00185083786388345 0.00157997024854595 0.00226371190838593 0.00271557896036459 0.00221894544056835 0.00256496829088874 0.00174722716336634 0.00247289199805841;0.00196509829884393 0.0208565720701056 0.00114191886818675 0.00123973594499972 0.00171408103766816 0.0023497867732211 0.00195439770054142 0.00266617938683945 0.00183465507586409 0.00185385621556944;0.00185083786388345 0.00114191886818675 0.0221904811354905 0.00159838272185188 0.00251024834457071 0.00207406111779386 0.002356566053382 0.0020099835720414 0.00201610472709208 0.00222328412907475;0.00157997024854595 0.00123973594499972 0.00159838272185188 0.0217940817695774 0.00239351371373691 0.00151656261871221 0.00201681157661195 0.00245001387793513 0.00240763323234984 0.00178143292079747;0.00226371190838593 0.00171408103766816 0.00251024834457071 0.00239351371373691 0.0224670849562829 0.0020903563348317 0.00214075136014039 0.0018716286105642 0.00235624557404845 0.00263339074584323;0.00271557896036459 0.0023497867732211 0.00207406111779386 0.00151656261871221 0.0020903563348317 0.0226452068158996 0.00196015361084405 0.00265597926481036 0.00187111856591084 0.0028008874238979;0.00221894544056835 0.00195439770054142 0.002356566053382 0.00201681157661195 0.00214075136014039 0.00196015361084405 0.0225475750108191 0.00220766834507291 0.00238440568925906 0.0027511167359342;0.00256496829088874 0.00266617938683945 0.0020099835720414 0.00245001387793513 0.0018716286105642 0.00265597926481036 0.00220766834507291 0.023023870025081 0.00311509152537443 0.00229413299877815;0.00174722716336634 0.00183465507586409 0.00201610472709208 0.00240763323234984 0.00235624557404845 0.00187111856591084 0.00238440568925906 0.00311509152537443 0.0219647806946821 0.0023917685585165;0.00247289199805841 0.00185385621556944 0.00222328412907475 0.00178143292079747 0.00263339074584323 0.0028008874238979 0.0027511167359342 0.00229413299877815 0.0023917685585165 0.0222048091068953]
intento: 14 tiempo: 0.027 [0.0221621980364017 0.00246838729028718 0.00212168306942026 0.0019066682915534 0.00157967923489136 0.00197951092079559 0.00203859259934331 0.00165827008483122 0.00216992960293594 0.00262290863084405;0.00246838729028718 0.0214254565195232 0.00291134665564294 0.0021082696624319 0.00223791796190143 0.00240595526717393 0.00182319568215059 0.00227179603291937 0.00241683982106517 0.00263931060752936;0.00212168306942026 0.00291134665564294 0.0217560255768086 0.00255281553286394 0.00209272281458977 0.00276894300887486 0.0026496199920277 0.0027782831365019 0.00245247208869313 0.00320273795668585;0.0019066682915534 0.0021082696624319 0.00255281553286394 0.0217643700465182 0.00177401961636955 0.00231442480742502 0.00177089896259351 0.00191097976261521 0.001871664085558 0.00237261489288734;0.00157967923489136 0.00223791796190143 0.00209272281458977 0.00177401961636955 0.0211742161177152 0.00227474335959806 0.00174550597572046 0.00215044984682918 0.00222659174840773 0.00215556154271959;0.00197951092079559 0.00240595526717393 0.00276894300887486 0.00231442480742502 0.00227474335959806 0.022553040027491 0.00199163738101076 0.00212820369424434 0.00233229734413928 0.00264966948971303;0.00203859259934331 0.00182319568215059 0.0026496199920277 0.00177089896259351 0.00174550597572046 0.00199163738101076 0.0214664013214366 0.0020094283615479 0.00152567179711618 0.00243218697044101;0.00165827008483122 0.00227179603291937 0.0027782831365019 0.00191097976261521 0.00215044984682918 0.00212820369424434 0.0020094283615479 0.0216081863352436 0.00223448718676527 0.00227388412294895;0.00216992960293594 0.00241683982106517 0.00245247208869313 0.001871664085558 0.00222659174840773 0.00233229734413928 0.00152567179711618 0.00223448718676527 0.0222042961404717 0.00237465071087541;0.00262290863084405 0.00263931060752936 0.00320273795668585 0.00237261489288734 0.00215556154271959 0.00264966948971303 0.00243218697044101 0.00227388412294895 0.00237465071087541 0.0225080689217552]
intento: 16 tiempo: 0.029 [0.0229828900930159 0.00207417045348828 0.00312746860972573 0.00192359995079866 0.00236717523684127 0.00248036981468013 0.00291207171366223 0.00260869488930156 0.00226816348766422 0.0026108542177958;0.00207417045348828 0.0209117067746137 0.00192052232444192 0.00161772393618568 0.00174321918965079 0.00192230806116021 0.00180979888615867 0.00196385210586597 0.00164425573778689 0.0020785244520731;0.00312746860972573 0.00192052232444192 0.022793221928372 0.00204185128124578 0.00278022568047549 0.00227962505883732 0.00312011756169355 0.00270418888695119 0.00167520812637231 0.00261841855422374;0.00192359995079866 0.00161772393618568 0.00204185128124578 0.0219922439468621 0.00179237557394304 0.00243077499090911 0.00199287886974292 0.0025392712971193 0.00211979053272165 0.00181788644360253;0.00236717523684127 0.00174321918965079 0.00278022568047549 0.00179237557394304 0.0210481463699762 0.00192750091577106 0.00209575813457638 0.00237802691773717 0.00150583607432943 0.00207112315799666;0.00248036981468013 0.00192230806116021 0.00227962505883732 0.00243077499090911 0.00192750091577106 0.021867628929327 0.00219675996065531 0.00264637001389125 0.00188724549295947 0.00195402542244856;0.00291207171366223 0.00180979888615867 0.00312011756169355 0.00199287886974292 0.00209575813457638 0.00219675996065531 0.0224690032849124 0.00251352891485589 0.00282601233339141 0.00187950098694896;0.00260869488930156 0.00196385210586597 0.00270418888695119 0.0025392712971193 0.00237802691773717 0.00264637001389125 0.00251352891485589 0.0228613096195552 0.00163782425183669 0.00239267423451534;0.00226816348766422 0.00164425573778689 0.00167520812637231 0.00211979053272165 0.00150583607432943 0.00188724549295947 0.00282601233339141 0.00163782425183669 0.0224634126464181 0.00192181888678045;0.0026108542177958 0.0020785244520731 0.00261841855422374 0.00181788644360253 0.00207112315799666 0.00195402542244856 0.00187950098694896 0.00239267423451534 0.00192181888678045 0.0212232309701343]
intento: 18 tiempo: 0.035 [0.0226510718576694 0.00267988716912521 0.00226850912614641 0.00193853715320005 0.00252961338706563 0.00194657431451152 0.00239261025778018 0.00231968991795578 0.0024921509466071 0.00228180467922877;0.00267988716912521 0.0224234721818573 0.0025521357363184 0.00239827204654913 0.00216987836776565 0.00195796066814434 0.00249538245904775 0.00225073946281103 0.00202237848845537 0.00263595844264629;0.00226850912614641 0.0025521357363184 0.021591750641319 0.00173715077028691 0.00228274506654768 0.00216277407792462 0.00209333164832812 0.0024371509138521 0.00201739164952435 0.0018640855803961;0.00193853715320005 0.00239827204654913 0.00173715077028691 0.0215547886545573 0.00168880090993915 0.00247151197536486 0.00191069667885308 0.00206137198880266 0.00153460814593986 0.00143416509398378;0.00252961338706563 0.00216987836776565 0.00228274506654768 0.00168880090993915 0.022329809975089 0.00247585001213143 0.00225308816579012 0.00221367963244721 0.00285403552657238 0.00225133918813093;0.00194657431451152 0.00195796066814434 0.00216277407792462 0.00247151197536486 0.00247585001213143 0.0223866134899117 0.00259551669302257 0.00184271416729569 0.00221278239107297 0.00224365890159652;0.00239261025778018 0.00249538245904775 0.00209333164832812 0.00191069667885308 0.00225308816579012 0.00259551669302257 0.0222134620282537 0.00206905931894053 0.00210670227737505 0.00247291426146718;0.00231968991795578 0.00225073946281103 0.0024371509138521 0.00206137198880266 0.00221367963244721 0.00184271416729569 0.00206905931894053 0.021383740363543 0.00227618852708799 0.00184444266638334;0.0024921509466071 0.00202237848845537 0.00201739164952435 0.00153460814593986 0.00285403552657238 0.00221278239107297 0.00210670227737505 0.00227618852708799 0.0216737152358881 0.00234562936312663;0.00228180467922877 0.00263595844264629 0.0018640855803961 0.00143416509398378 0.00225133918813093 0.00224365890159652 0.00247291426146718 0.00184444266638334 0.00234562936312663 0.0225046608618697]
intento: 20 tiempo: 0.031 [0.0201379765076127 0.00234711053106675 0.00155185351162979 0.00211817829363506 0.00194973193385649 0.00180981329612064 0.00162255969319121 0.00180570062678623 0.00197739419058939 0.00168792553511714;0.00234711053106675 0.0209477759821186 0.00187397840358883 0.00249913155058382 0.00227078076877245 0.00223981303455807 0.00195679298638914 0.00231527509496819 0.00272382661765532 0.00238010684171945;0.00155185351162979 0.00187397840358883 0.0205286011985918 0.00236520856377449 0.00220750590437008 0.00132360206527008 0.00192736606567738 0.00135290125666419 0.00220559794747182 0.0018657812799462;0.00211817829363506 0.00249913155058382 0.00236520856377449 0.0207541141085745 0.0022921283885519 0.00251662764952253 0.00211686575414853 0.00210151745287907 0.00237670383907599 0.00226262529489316;0.00194973193385649 0.00227078076877245 0.00220750590437008 0.0022921283885519 0.0213884849938269 0.00200960270560248 0.00195538911163745 0.00156920071088954 0.00275442662228521 0.00266297866532148;0.00180981329612064 0.00223981303455807 0.00132360206527008 0.00251662764952253 0.00200960270560248 0.0209618209319986 0.00188158854506562 0.00205871262218103 0.00202966550308761 0.00209519661125091;0.00162255969319121 0.00195679298638914 0.00192736606567738 0.00211686575414853 0.00195538911163745 0.00188158854506562 0.0209991837253341 0.00133488865200866 0.00210280521268555 0.00230242255027757;0.00180570062678623 0.00231527509496819 0.00135290125666419 0.00210151745287907 0.00156920071088954 0.00205871262218103 0.00133488865200866 0.0203937673789304 0.00162940085029385 0.00187561929611314;0.00197739419058939 0.00272382661765532 0.00220559794747182 0.00237670383907599 0.00275442662228521 0.00202966550308761 0.00210280521268555 0.00162940085029385 0.0214147507656663 0.00278787405326164;0.00168792553511714 0.00238010684171945 0.0018657812799462 0.00226262529489316 0.00266297866532148 0.00209519661125091 0.00230242255027757 0.00187561929611314 0.00278787405326164 0.0207832995140143]
