intento: 2 tiempo: 0.018 [0.0323540557942227 0.00544706164910344 0.00344654168394467 0.00407894415949616 0.00433822541911346 0.00352144994991428 0.0047158684147692 0.00485096800583478;0.00544706164910344 0.0319022736530611 0.00408606890205152 0.00379943313394778 0.00528689683252803 0.00482033229331555 0.00515248084039613 0.00381579558356691;0.00344654168394467 0.00408606890205152 0.0303439842021919 0.0033984963943684 0.00423095550772547 0.00230979558760656 0.00278211354708463 0.0032073745397993;0.00407894415949616 0.00379943313394778 0.0033984963943684 0.0300834485250792 0.00507788483585122 0.00253964542892445 0.00346514911071549 0.00345726986034826;0.00433822541911346 0.00528689683252803 0.00423095550772547 0.00507788483585122 0.0316783652270023 0.0038477756645999 0.00429628879079598 0.0040140180125597;0.00352144994991428 0.00482033229331555 0.00230979558760656 0.00253964542892445 0.0038477756645999 0.0303049381086523 0.00382595585775095 0.00314203637815821;0.0047158684147692 0.00515248084039613 0.00278211354708463 0.00346514911071549 0.00429628879079598 0.00382595585775095 0.0303431369035559 0.00493655531263698;0.00485096800583478 0.00381579558356691 0.0032073745397993 0.00345726986034826 0.0040140180125597 0.00314203637815821 0.00493655531263698 0.0319849530318312]
intento: 4 tiempo: 0.019 [0.0283702482307057 0.00457254969817753 0.00410945340987682 0.00337906900056567 0.00311783439049568 0.00344166522707786 0.00310677633268255 0.00496439171857239;0.00457254969817753 0.0303980994470865 0.00462081845452703 0.00357577161243941 0.00347995238416436 0.00343154199702241 0.00406981249140944 0.00543878498993949;0.00410945340987682 0.00462081845452703 0.0304871996653298 0.00430012247160008 0.00299729907228102 0.0036567648779561 0.0039358266639789 0.00471571660733058;0.00337906900056567 0.00357577161243941 0.00430012247160008 0.0285624835335368 0.00375357491067631 0.00315927444957598 0.00371500186282327 0.00385820366010772;0.00311783439049568 0.00347995238416436 0.00299729907228102 0.00375357491067631 0.027932990207066 0.00316826653956939 0.00376885077143543 0.00342582247044499;0.00344166522707786 0.00343154199702241 0.0036567648779561 0.00315927444957598 0.00316826653956939 0.029376173280344 0.00373210825262557 0.00438993780329006;0.00310677633268255 0.00406981249140944 0.0039358266639789 0.00371500186282327 0.00376885077143543 0.00373210825262557 0.0298913966660708 0.00450023050985355;0.00496439171857239 0.00543878498993949 0.00471571660733058 0.00385820366010772 0.00342582247044499 0.00438993780329006 0.00450023050985355 0.0300552939284743]
intento: 6 tiempo: 0.018 [0.0273271570541775 0.00376937848759361 0.00262513141740454 0.00293198248365573 0.00296820174414651 0.00359061252078725 0.00297305991807075 0.00327437343649634;0.00376937848759361 0.0289701197582838 0.00369606614672272 0.00350114563428067 0.00392026689649284 0.00458510315820505 0.00315798817425517 0.00352327790210051;0.00262513141740454 0.00369606614672272 0.0279315075186446 0.00378747272593015 0.00350983402833457 0.00344571142124579 0.00265204176883525 0.00368956605382136;0.00293198248365573 0.00350114563428067 0.00378747272593015 0.0285183839334861 0.00420780512396478 0.00400280292948068 0.00376438003057735 0.004016134807164;0.00296820174414651 0.00392026689649284 0.00350983402833457 0.00420780512396478 0.0283410310054947 0.00503814164875974 0.00372219841003912 0.00335603466195745;0.00359061252078725 0.00458510315820505 0.00344571142124579 0.00400280292948068 0.00503814164875974 0.0292114631332948 0.00388505393170178 0.00391679244162658;0.00297305991807075 0.00315798817425517 0.00265204176883525 0.00376438003057735 0.00372219841003912 0.00388505393170178 0.0282372875830259 0.00420909110170467;0.00327437343649634 0.00352327790210051 0.00368956605382136 0.004016134807164 0.00335603466195745 0.00391679244162658 0.00420909110170467 0.0281626277366084]
intento: 8 tiempo: 0.018 [0.0297934841744712 0.00274259982877842 0.00382001541601041 0.00390372645072842 0.00334078579719487 0.00442585472763019 0.00463708190758013 0.00419103805773197;0.00274259982877842 0.0295605476353406 0.00394960442388628 0.00429115289402998 0.00361337562049252 0.00336146322640658 0.00373230268483853 0.00371917787201609;0.00382001541601041 0.00394960442388628 0.0292527955446669 0.00486837118135929 0.00360648701823401 0.00353734020849943 0.00393676348704575 0.00392456481154837;0.00390372645072842 0.00429115289402998 0.00486837118135929 0.0291693273478527 0.00450652961227833 0.0028074576078288 0.00400005707010804 0.00372844169738273;0.00334078579719487 0.00361337562049252 0.00360648701823401 0.00450652961227833 0.0293504841289842 0.0031517421723109 0.003393008476619 0.00378101470246924;0.00442585472763019 0.00336146322640658 0.00353734020849943 0.0028074576078288 0.0031517421723109 0.0277699970945263 0.00341265742139836 0.00373838305952277;0.00463708190758013 0.00373230268483853 0.00393676348704575 0.00400005707010804 0.003393008476619 0.00341265742139836 0.0307193454178079 0.00383211827676062;0.00419103805773197 0.00371917787201609 0.00392456481154837 0.00372844169738273 0.00378101470246924 0.00373838305952277 0.00383211827676062 0.0305718791529757]
intento: 10 tiempo: 0.02 [0.0313623237671977 0.0041573467108113 0.00443304174878295 0.00496203897717688 0.00457177137020094 0.00402367418332206 0.0048392092008007 0.00432999831701072;0.0041573467108113 0.0296846106298147 0.00336967814585174 0.00313660230326277 0.00304948713197741 0.00314290768803701 0.00353747549139151 0.00494617326225909;0.00443304174878295 0.00336967814585174 0.0301232746495662 0.00346009366064712 0.00353400296093892 0.00328887975326901 0.00315193845380656 0.00331522450931354;0.00496203897717688 0.00313660230326277 0.00346009366064712 0.029805233475266 0.00335139296437821 0.00419580359418669 0.00328094112423519 0.00372698408240355;0.00457177137020094 0.00304948713197741 0.00353400296093892 0.00335139296437821 0.0302773877442493 0.00273808337615441 0.0029054379321954 0.00319887518223432;0.00402367418332206 0.00314290768803701 0.00328887975326901 0.00419580359418669 0.00273808337615441 0.0304642424303494 0.00359433220972478 0.00546152141514363;0.0048392092008007 0.00353747549139151 0.00315193845380656 0.00328094112423519 0.0029054379321954 0.00359433220972478 0.0297396570538143 0.00448282738188216;0.00432999831701072 0.00494617326225909 0.00331522450931354 0.00372698408240355 0.00319887518223432 0.00546152141514363 0.00448282738188216 0.0306238354204681]
intento: 12 tiempo: 0.018 [0.0288564354969751 0.00420095921546644 0.0042319402800321 0.00331878246670987 0.00373065119579649 0.00350143109928137 0.0040382689786304 0.00326432891312822;0.00420095921546644 0.0307781388959405 0.00451952930739316 0.00397203733727328 0.00394877011731913 0.00420489758440508 0.00387383348723819 0.00423256416127874;0.0042319402800321 0.00451952930739316 0.0302666848748708 0.00379017653927895 0.00393014496007441 0.00389171048257149 0.00339010988323695 0.00424248896650483;0.00331878246670987 0.00397203733727328 0.00379017653927895 0.0295630572576697 0.00278329746960496 0.00351792911740785 0.00266355063399869 0.00352965955836204;0.00373065119579649 0.00394877011731913 0.00393014496007441 0.00278329746960496 0.0283708315135121 0.00418637190586831 0.0028552840639734 0.00423763669415514;0.00350143109928137 0.00420489758440508 0.00389171048257149 0.00351792911740785 0.00418637190586831 0.028962596558497 0.00315219069329576 0.0039389823975918;0.0040382689786304 0.00387383348723819 0.00339010988323695 0.00266355063399869 0.0028552840639734 0.00315219069329576 0.0289093373139039 0.00305089162462202;0.00326432891312822 0.00423256416127874 0.00424248896650483 0.00352965955836204 0.00423763669415514 0.0039389823975918 0.00305089162462202 0.03093635960778]
intento: 14 tiempo: 0.02 [0.0319732938601835 0.00523119195102648 0.00519959121799693 0.00365060234566627 0.00542974946690834 0.0049176888579016 0.00450586656247625 0.00430980060525009;0.00523119195102648 0.0342316146622144 0.00349553511453041 0.005878649417202 0.00515373867295179 0.00607067503205162 0.00502566650178036 0.00392601012203639;0.00519959121799693 0.00349553511453041 0.0311880282713815 0.00288444231379032 0.00412922158160986 0.00351107853938269 0.00288173657284027 0.00315410437092316;0.00365060234566627 0.005878649417202 0.00288444231379032 0.031705884418124 0.00524713915667164 0.00424965746892349 0.00455609400417821 0.00388387657126301;0.00542974946690834 0.00515373867295179 0.00412922158160986 0.00524713915667164 0.0324233820701548 0.00495003768411401 0.00518096035167597 0.00460049641212882;0.0049176888579016 0.00607067503205162 0.00351107853938269 0.00424965746892349 0.00495003768411401 0.0326954247379607 0.00388347540705685 0.00518325810003272;0.00450586656247625 0.00502566650178036 0.00288173657284027 0.00455609400417821 0.00518096035167597 0.00388347540705685 0.0316597623819085 0.00301476443620773;0.00430980060525009 0.00392601012203639 0.00315410437092316 0.00388387657126301 0.00460049641212882 0.00518325810003272 0.00301476443620773 0.0319549284617299]
intento: 16 tiempo: 0.018 [0.0277823252165234 0.00310777406318628 0.00311499941652751 0.00307868927768843 0.0026022402354035 0.00367682984311937 0.00227732312819975 0.00313272207834539;0.00310777406318628 0.0290620063899351 0.00426434748625448 0.00428209613375999 0.00337591623076751 0.00380045219170892 0.00352837456552549 0.00455386798630085;0.00311499941652751 0.00426434748625448 0.0282234333075351 0.00469439090097459 0.00309146590279156 0.00302486265980733 0.00383269860122857 0.00365721722572581;0.00307868927768843 0.00428209613375999 0.00469439090097459 0.0295958247220365 0.00392259455214641 0.00414635260845724 0.00358949590392405 0.00425859065385274;0.0026022402354035 0.00337591623076751 0.00309146590279156 0.00392259455214641 0.0271031699005628 0.0035634792290997 0.00271378383718564 0.0029695347229097;0.00367682984311937 0.00380045219170892 0.00302486265980733 0.00414635260845724 0.0035634792290997 0.0287526606293101 0.00351320765944481 0.0038073148170912;0.00227732312819975 0.00352837456552549 0.00383269860122857 0.00358949590392405 0.00271378383718564 0.00351320765944481 0.0285108986686332 0.00292757445340501;0.00313272207834539 0.00455386798630085 0.00365721722572581 0.00425859065385274 0.0029695347229097 0.0038073148170912 0.00292757445340501 0.0270310034926495]
intento: 18 tiempo: 0.02 [0.0284490628374894 0.00285543293711782 0.00433069286874418 0.00376691906852275 0.00264868059421049 0.00358853107995176 0.00269079732623615 0.00375524324321153;0.00285543293711782 0.0300271444266784 0.00460167296542025 0.00396742436473614 0.00210579000278986 0.00370407841637006 0.00353576931223464 0.00379915560335431;0.00433069286874418 0.00460167296542025 0.0316572181463563 0.00463417652065099 0.00419342776073678 0.00395385354053767 0.00429089398349633 0.00522559355814818;0.00376691906852275 0.00396742436473614 0.00463417652065099 0.0297360682478306 0.00348003034340718 0.00416772303423584 0.00376017997142855 0.00357661826537428;0.00264868059421049 0.00210579000278986 0.00419342776073678 0.00348003034340718 0.0299526958058358 0.0031115425194052 0.00256111384038239 0.00279975516771569;0.00358853107995176 0.00370407841637006 0.00395385354053767 0.00416772303423584 0.0031115425194052 0.029004879427148 0.0029772843606268 0.00281728563653874;0.00269079732623615 0.00353576931223464 0.00429089398349633 0.00376017997142855 0.00256111384038239 0.0029772843606268 0.0284024492963982 0.00431316476379903;0.00375524324321153 0.00379915560335431 0.00522559355814818 0.00357661826537428 0.00279975516771569 0.00281728563653874 0.00431316476379903 0.0305543468055587]
intento: 20 tiempo: 0.019 [0.031514176672406 0.00469125428414319 0.00528944486836728 0.00498147643943679 0.00344473177967753 0.0038824679172552 0.00428296218659358 0.00484405174738545;0.00469125428414319 0.0298798889732135 0.00388510258150567 0.0038848350653576 0.00403756332625498 0.00469421094295113 0.00393916107445346 0.00347378669987508;0.00528944486836728 0.00388510258150567 0.0303018600917721 0.00435457426961659 0.00257792718985788 0.00456694791514091 0.00375355244033534 0.00442767126087875;0.00498147643943679 0.0038848350653576 0.00435457426961659 0.0294356487327116 0.00381735862571871 0.00394397430423504 0.00307889842387765 0.00318963948568419;0.00344473177967753 0.00403756332625498 0.00257792718985788 0.00381735862571871 0.0314772810875645 0.00458134302294404 0.00447455890199371 0.00292706245327352;0.0038824679172552 0.00469421094295113 0.00456694791514091 0.00394397430423504 0.00458134302294404 0.0303614460942859 0.00435252309732239 0.00339586537437721;0.00428296218659358 0.00393916107445346 0.00375355244033534 0.00307889842387765 0.00447455890199371 0.00435252309732239 0.0299029297553681 0.00265400016738857;0.00484405174738545 0.00347378669987508 0.00442767126087875 0.00318963948568419 0.00292706245327352 0.00339586537437721 0.00265400016738857 0.0296220226512621]
